epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5884,1.45411,2.34735,1.76108,0.30168,0.33333,0.25557,0.09079,1.94824,2.61497,2.18365,2.2e-05,2.2e-05,0.078022
2,48.9181,1.19531,1.08484,1.5005,0.80148,0.7342,0.8043,0.44021,1.21378,1.22768,1.56322,4.4989e-05,4.4989e-05,0.055045
3,78.8912,1.10815,0.95697,1.3973,0.89975,0.81594,0.87838,0.55303,0.98212,0.96654,1.39641,6.79336e-05,6.79336e-05,0.0320679
4,108.842,1.11924,0.92459,1.41779,0.80892,0.81818,0.7972,0.50594,1.12754,0.98377,1.52885,9.08001e-05,9.08001e-05,0.0090908
5,137.415,1.12002,0.91712,1.43605,0.87077,0.81677,0.88221,0.57744,1.23002,0.82155,1.53173,9.96097e-05,9.96097e-05,9.96097e-05
6,172.657,1.0214,0.81435,1.33852,0.92056,0.78788,0.86339,0.62457,1.00413,0.65801,1.45121,9.93906e-05,9.93906e-05,9.93906e-05
7,240.138,0.97809,0.77289,1.32366,0.87646,0.90909,0.90016,0.62012,0.86104,0.80462,1.35668,9.91232e-05,9.91232e-05,9.91232e-05
8,268.74,0.99625,0.71166,1.33905,0.87599,0.85638,0.88528,0.6323,0.99956,0.67404,1.34086,9.88079e-05,9.88079e-05,9.88079e-05
9,303.3,0.94737,0.67663,1.29128,0.87658,0.86116,0.90057,0.70501,0.77407,0.66175,1.22349,9.84449e-05,9.84449e-05,9.84449e-05
10,374.258,0.92154,0.65511,1.29943,0.89752,0.7964,0.86162,0.66057,0.90437,0.69639,1.34869,9.80345e-05,9.80345e-05,9.80345e-05
11,403.925,0.91555,0.6277,1.28608,0.87423,0.84273,0.86804,0.64394,0.79946,0.73862,1.33401,9.75773e-05,9.75773e-05,9.75773e-05
12,432.798,0.89795,0.63283,1.27446,0.82047,0.83116,0.87253,0.65507,0.86205,0.67016,1.35543,9.70736e-05,9.70736e-05,9.70736e-05
13,483.32,0.85744,0.55801,1.22823,0.82553,0.78788,0.84955,0.62865,0.81177,0.85757,1.3535,9.65239e-05,9.65239e-05,9.65239e-05
14,512.556,0.85091,0.56956,1.23118,0.81462,0.81818,0.8717,0.6489,0.88949,0.78387,1.41096,9.59289e-05,9.59289e-05,9.59289e-05
15,543.075,0.88359,0.56844,1.24537,0.7996,0.84642,0.86789,0.63396,0.83764,0.70166,1.40567,9.52889e-05,9.52889e-05,9.52889e-05
16,571.917,0.84469,0.55331,1.20879,0.85571,0.78788,0.84955,0.61909,0.9009,0.7449,1.42991,9.46048e-05,9.46048e-05,9.46048e-05
17,602.665,0.80953,0.55457,1.20794,0.84084,0.72727,0.81995,0.61308,0.95242,0.87725,1.50486,9.38772e-05,9.38772e-05,9.38772e-05
18,633.39,0.82685,0.55085,1.21205,0.71083,0.84848,0.82472,0.62605,0.87457,0.76977,1.38044,9.31067e-05,9.31067e-05,9.31067e-05
19,663.967,0.78708,0.50838,1.16521,0.89069,0.74104,0.84576,0.65821,0.8198,0.73563,1.32087,9.22942e-05,9.22942e-05,9.22942e-05
20,692.261,0.80015,0.52116,1.18881,0.9141,0.75758,0.86703,0.66434,0.83621,0.66171,1.36429,9.14405e-05,9.14405e-05,9.14405e-05
21,721.592,0.75514,0.50266,1.14452,0.96127,0.69697,0.88057,0.6596,0.89871,0.65383,1.47116,9.05463e-05,9.05463e-05,9.05463e-05
22,784.565,0.78762,0.49767,1.17069,0.91956,0.72727,0.87097,0.66793,0.81565,0.68452,1.38161,8.96127e-05,8.96127e-05,8.96127e-05
23,817.093,0.73629,0.47851,1.13532,0.84387,0.84848,0.91458,0.68373,0.76803,0.66111,1.29063,8.86404e-05,8.86404e-05,8.86404e-05
24,844.933,0.74853,0.48148,1.1725,0.85216,0.87345,0.92352,0.71324,0.80098,0.61436,1.35272,8.76305e-05,8.76305e-05,8.76305e-05
25,907.462,0.72596,0.47642,1.14614,0.91298,0.75758,0.86784,0.65627,0.86373,0.644,1.37641,8.65839e-05,8.65839e-05,8.65839e-05
