epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,114.698,1.37783,2.81893,1.62812,1.23203,0,0.38127,0.35985,0.26218,0.15684,0.40903,0.2803,0.19921,0.08493,1.26327,3.05054,1.65036,1.25326,0,3.30189e-05,3.30189e-05,0.0670142
2,240.831,1.1807,2.43307,1.17557,1.10512,0,0.44646,0.41667,0.3509,0.23196,0.33595,0.29167,0.18961,0.07898,1.13441,2.60193,1.30535,1.1618,0,6.6336e-05,6.6336e-05,0.0337141
3,369.504,1.12349,2.31233,1.10424,1.07831,0,0.50167,0.36742,0.35206,0.23486,0.4261,0.37121,0.31952,0.14959,1.13733,2.25403,1.28512,1.17498,0,9.95882e-05,9.95882e-05,0.000414054
4,495.198,1.10455,2.31059,1.07987,1.06839,0,0.50908,0.38258,0.3687,0.25078,0.44339,0.33712,0.30594,0.15036,1.13635,2.15149,1.25817,1.20297,0,9.97803e-05,9.97803e-05,9.97803e-05
5,626.867,1.09626,2.28323,1.04264,1.06328,0,0.52108,0.37879,0.38692,0.25732,0.46688,0.3447,0.32998,0.16264,1.08185,2.17529,1.24636,1.1592,0,9.96097e-05,9.96097e-05,9.96097e-05
6,760.351,1.06428,2.2187,1.00729,1.05027,0,0.48246,0.41667,0.37148,0.25714,0.44718,0.39394,0.34327,0.17096,1.1272,2.01233,1.24571,1.17363,0,9.93906e-05,9.93906e-05,9.93906e-05
7,889.189,1.05925,2.1947,0.98787,1.0444,0,0.50396,0.38636,0.35612,0.24375,0.44785,0.36364,0.31671,0.16953,1.1074,2.08374,1.20739,1.19385,0,9.91232e-05,9.91232e-05,9.91232e-05
8,1008.72,1.04317,2.16885,0.97791,1.03538,0,0.52779,0.34848,0.36862,0.26455,0.53509,0.32262,0.3214,0.17526,1.06881,2.14233,1.24088,1.14656,0,9.88079e-05,9.88079e-05,9.88079e-05
9,1136.78,1.02799,2.12756,0.95269,1.0235,0,0.55157,0.35985,0.37682,0.26242,0.5105,0.32197,0.33593,0.17322,1.06643,2.00684,1.17954,1.13854,0,9.84449e-05,9.84449e-05,9.84449e-05
10,1260.18,1.0273,2.11265,0.92092,1.02841,0,0.51988,0.38636,0.35946,0.25381,0.48295,0.35985,0.32622,0.17272,1.03868,2.09473,1.28012,1.13249,0,9.80345e-05,9.80345e-05,9.80345e-05
11,1385.07,1.00195,2.08699,0.89005,1.01613,0,0.4352,0.39403,0.37322,0.25781,0.4703,0.34848,0.34301,0.17824,1.10079,2.05994,1.23561,1.17754,0,9.75773e-05,9.75773e-05,9.75773e-05
